label,g (m/s2),stat uncert,sys uncert,total uncert
22.Feb.B.B01.10,10.03,0.03,0.24,
22.Feb.B.B02.01,9.83,,,0.06
22.Feb.B.B02.02,9.68,,,0.93
22.Feb.B.B02.03,9.81,,,0.018
22.Feb.B.B02.04,9.77,,,0.21
22.Feb.B.B02.05,9.94,,,0.21
22.Feb.B.B02.06,9.7,0.16,0.001,
22.Feb.B.B02.07,9.34,,,0.07
22.Feb.B.B02.08,9.72,,,0.14
22.Feb.B.B02.09,9.8,,,0.1
22.Sep.A.B01.01,9,,,2
22.Sep.A.B01.02,9.23,,,0.548
22.Sep.A.B01.03,9.63,,,0.104
22.Sep.A.B01.04,9.113435927,,,0.839561695
22.Sep.A.B01.05,9.53,0.03,0.51,
22.Sep.A.B01.06,10,1.6,0.4,
22.Sep.A.B01.07,9.4,,,0.1
22.Sep.A.B01.08,9.74,,,0.03
22.Sep.A.B02.01,10.37,,,1.08
22.Sep.A.B02.02,9.79,,,0.1
22.Sep.A.B02.03,9.85,,,0.04
22.Sep.A.B03.01,10.4,,,0.2
22.Sep.A.B03.02,9.68,,,0.9
22.Sep.A.B03.03,9.77,,,0.08
22.Sep.A.B03.04,9.5,,,0.3
22.Sep.A.B03.05,9.74,,,0.724
22.Sep.A.B03.06,9.71,,,0.29
22.Sep.A.B03.07,9.81,,,0.127
22.Sep.A.B03.08,9.789,,,1.6
22.Sep.A.B03.09,10,0.09,0.31,
22.Sep.A.B03.10,9.7,,,0.3
22.Sep.A.B04.01,9.38,0.122,0.51,0.52
22.Sep.A.B04.02,9.45,0.078,0.278,0.356
22.Sep.A.B04.03,9.4,0.29,,
22.Sep.A.B04.04,9.03,0.023,0.29,0.31
22.Sep.A.B04.05,10.34,0.94,,
22.Sep.A.B04.06,9.76,0.147,,
22.Sep.A.B04.07,9.76,0.11,,
22.Sep.A.B04.08,9.7,0.14,0.15,0.29
22.Sep.B.B01.01,9.54,0.42,0.15,
22.Sep.B.B01.02,9.83,,,0.03
22.Sep.B.B01.03,9.8,0.01,0.065,
22.Sep.B.B01.04,9.534,0.036,0.112,
22.Sep.B.B01.05,9.73,0.013,0.151,
22.Sep.B.B01.06,9.808,0.039,0.064,
22.Sep.B.B01.07,9.73,0.09,0.02,
22.Sep.B.B02.01,9.9743,0.106,0.0372,
22.Sep.B.B02.02,9.85,0.01,0.05,
22.Sep.B.B02.03,9.835,,,0.015
22.Sep.B.B02.04,9.63,0.043,0.00013,
22.Sep.B.B02.05,10.14,,,0.01
22.Sep.B.B02.06,9.74838,,,0.000025
22.Sep.B.B02.07,9.67,,,0.18
22.Sep.B.B02.08,9.806,,,
22.Sep.B.B02.09,9.82,0.01,0.02,
22.Sep.B.B02.10,9.739,,,0.129
22.Sep.B.B02.11,9.814,0.009,0.004,
22.Sep.B.B02.12,9.59,,,0.04
22.Sep.B.B03.01,9.802,,,0.007
22.Sep.B.B03.02,9.81,0.05,0.12,
22.Sep.B.B03.03,9.857,,,0.054
22.Sep.B.B03.04,9.59,,,0.04
22.Sep.B.B03.05,9.84,0.018,0.02,
22.Sep.B.B03.06,9.8,,,0.05
22.Sep.B.B03.07,9.02,,,0.23
22.Sep.B.B03.08,9.69,,,0.17
22.Sep.B.B03.09,9.88,,,0.02
22.Sep.B.B03.10,9.824,0.014,0.014,
22.Sep.B.B04.01,9.8,0.4,0.3,
22.Sep.B.B04.02,10.112,0.308,0.588,
22.Sep.B.B04.03,9.87,0.22,0.05,
22.Sep.B.B04.04,9.58,0.15,0.29,
22.Sep.B.B04.05,9.915,0.009,0.0125,
22.Sep.B.B04.06,9.78,0.027,0.033,
22.Sep.B.B04.07,9.82,0.01,0.13,
23.Feb.A.B01.01,9.75,,,0.25
23.Feb.A.B01.02,9.82,,,0.37
23.Feb.A.B01.03,10.08,,,"""+0.14,-0.37"""
23.Feb.A.B01.04,9.67,,,0.35
23.Feb.A.B01.05,8.68,,,0.51
23.Feb.A.B01.06,9.56,,,0.14
23.Feb.A.B01.07,9.9,,,0.16
23.Feb.A.B01.08,8.84,,,0.6
23.Feb.A.B02.01,9,,,2
23.Feb.A.B02.02,15.7,,,3.9
23.Feb.A.B02.03,9.86,,,0.14
23.Feb.A.B02.04,9.83,0.41,0.27,
23.Feb.A.B02.05,10.44,,,0.36
23.Feb.A.B02.06,8.5,,,0.3
23.Feb.A.B02.07,10.9,,,1.3
23.Feb.A.B02.08,9.55,,,0.13
23.Feb.A.B02.09,10.11,,,0.23
23.Feb.B.B01.01,,,,
23.Feb.B.B01.02,,,,
23.Feb.B.B01.03,,,,
23.Feb.B.B01.04,,,,
23.Feb.B.B01.05,,,,
23.Feb.B.B01.06,,,,
23.Feb.B.B01.07,,,,
23.Feb.B.B01.08,,,,
23.Feb.B.B02.01,,,,
23.Feb.B.B02.02,,,,
23.Feb.B.B02.03,,,,
23.Feb.B.B02.04,,,,
23.Feb.B.B02.05,,,,
23.Feb.B.B02.06,,,,
23.Feb.B.B02.07,,,,
23.Feb.B.B02.08,,,,
23.Feb.B.B02.09,,,,
